Genus	Phylum	Status	Source
Timgrovea	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Tirmania	Ascomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Tomentella	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Tomentellopsis	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Torrendia	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Trechispora	Basidiomycota	possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (Uncertain); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Tremellodendron	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Tremellogaster	Basidiomycota	Highly Probable	"Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Tremelloscypha	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
Tricharina	Ascomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263 (pro parte); http://mycorrhizas.info/ecmf.html (ECM)"
Tricholoma	Basidiomycota	Highly Probable	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Trichophaea	Ascomycota	Possible	"Rinaldi, Comandini & Kuyper. 2008. Fungal Diversity 33: 1-45; Tedersoo, May & Smith. 2010. Mycorrhiza 20: 217-263"
